pid,gender_DEMO,race_DEMO,orientation_heterosexual_DEMO,student_international_DEMO,student_1stGen_DEMO,college_engineer_DEMO,parent_edu_mother_DEMO,parent_edu_father_DEMO,generation_DEMO
INS-W_001,1,Asian,1,0,0,1,0,1,0
INS-W_002,2,White,1,0,1,0,0,0,0
INS-W_003,2,Biracial,1,0,0,0,0,1,0
INS-W_004,2,Asian,1,0,0,0,0,1,0
INS-W_005,2,Asian,1,0,0,0,1,0,0
INS-W_006,2,Asian,1,0,1,0,0,0,0
INS-W_007,2,White,1,0,0,1,1,0,0
INS-W_008,2,White,1,0,0,0,0,0,0
INS-W_009,1,Asian,1,1,0,0,0,0,1
INS-W_010,1,Asian,1,0,0,0,0,0,0
INS-W_011,1,Asian,1,1,0,0,0,1,1
INS-W_012,1,White,0,0,0,1,1,1,0
INS-W_013,1,White,1,0,0,0,0,1,0
INS-W_014,2,White,1,0,0,0,0,0,0
INS-W_015,2,White,1,0,0,0,0,1,0
INS-W_016,1,Asian,1,0,1,0,0,0,0
INS-W_017,1,Asian,1,0,0,0,0,1,0
INS-W_018,1,Asian,1,0,1,0,0,0,0
INS-W_019,2,Asian,1,0,1,0,0,0,0
INS-W_020,2,Asian,1,0,0,0,1,1,0
INS-W_021,1,White,1,0,0,1,1,0,0
INS-W_022,2,White,1,0,0,1,1,1,0
INS-W_023,2,White,1,0,0,1,1,0,0
INS-W_024,2,Asian,1,0,0,0,0,1,1
INS-W_025,2,Biracial,1,0,1,0,0,0,0
INS-W_026,2,White,1,0,0,0,0,0,0
INS-W_027,1,Asian,1,0,0,1,1,0,0
INS-W_028,1,White,1,0,0,1,1,1,0
INS-W_029,2,Asian,1,0,0,0,0,1,0
INS-W_030,2,White,1,0,0,0,1,1,0
INS-W_031,2,Asian,1,0,0,1,1,1,1
INS-W_032,2,Asian,1,0,1,1,0,0,1
INS-W_033,2,Asian,1,0,1,0,0,0,0
INS-W_034,2,Asian,1,0,1,0,0,0,0
INS-W_035,2,White,1,0,0,0,1,0,0
INS-W_036,2,Asian,1,0,1,0,0,0,1
INS-W_037,2,Asian,1,0,1,0,0,0,0
INS-W_038,1,Asian,0,0,0,0,1,1,0
INS-W_039,1,Asian,1,0,0,0,0,1,0
INS-W_040,2,Asian,1,0,0,0,0,0,1
INS-W_041,2,Asian,1,0,0,0,0,1,1
INS-W_042,2,Asian,1,0,1,1,0,0,0
INS-W_043,2,Asian,1,0,1,0,0,0,0
INS-W_044,2,Biracial,1,0,1,0,0,0,0
INS-W_045,1,Asian,1,1,0,0,0,1,0
INS-W_046,2,Asian,1,0,0,0,0,1,0
